web-scraper-order,web-scraper-start-url,property_type,property_type-href,property_name,prices,categories,commission,bedrooms,bathrooms,garage,amenities,address,area
1606914742-2139,https://meqasa.com/houses-for-rent-in-ghana?w=378,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-002044?y=1973495269,2 bedroom furnished apartment for rent at null Area,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in null Area",10.00%,2,2,,"Kitchen cabinets
Closets
Cooker
Kitchen
Swimming pool
Washing machine",null Area,900 m2
1606911658-1793,https://meqasa.com/houses-for-rent-in-ghana?w=400,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon---Trasacco-Estate-Road-070574?y=2059465780,3 bedroom apartment for rent at East Legon - Trasacco Estate Road,"GH₵ 4,351","Apartment for Rent

Apartment for Rent in East Legon",10.00%,3,4,2,"Air conditioning
Cooker
Washing machine
Fans
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,"1,000 m2"
1606914102-2071,https://meqasa.com/houses-for-rent-in-ghana?w=382,Read more,https://meqasa.com/house-for-rent-at-East-Legon-028729?y=1096053329,3 bedroom house for rent at East Legon,"GH₵ 3,807","House for Rent

House for Rent in East Legon",10.00%,3,2,0,"Air conditioning
Cooker
Internet
Garden
Garage
Water reservoir",East Legon,null
1606920486-2553,https://meqasa.com/houses-for-rent-in-ghana?w=345,Read more,https://meqasa.com/house-for-rent-at-East-Legon-124461?y=146040021,2 bedroom furnished house for rent at East Legon,"GH₵ 5,300","House for Rent

House for Rent in East Legon",10.00%,2,3,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Annexe (Boys' quarters)
Security service
Generator
Water reservoir",East Legon,900 m2
1606920129-2535,https://meqasa.com/houses-for-rent-in-ghana?w=346,Read more,https://meqasa.com/house-for-rent-at-Ashongman-146674?y=1584205477,4 bedroom house for rent at Ashongman,"GH₵ 3,000","House for Rent

House for Rent in Ashongman",10.00%,4,1,0,Water reservoir,Ashongman,null
1606912898-1934,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/house-for-rent-at-East-Legon-123015?y=1488013365,4 bedroom house for rent at East Legon,"GH₵ 8,000","House for Rent

House for Rent in East Legon",10.00%,4,5,10,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,"1,300 m2"
1606917763-2387,https://meqasa.com/houses-for-rent-in-ghana?w=363,Read more,https://meqasa.com/apartment-for-rent-at-Adjiringanor-138284?y=1427077544,4 bedroom apartment for rent at Adjiringanor,"GH₵ 2,195","Apartment for Rent

Apartment for Rent in Adjiringanor",null,4,3,0,Water reservoir,Adjiringanor,null
1606912173-1865,https://meqasa.com/houses-for-rent-in-ghana?w=395,Read more,https://meqasa.com/apartment-for-rent-at-coffe-shop-lane-064886?y=1579737913,1 bedroom apartment for rent at coffe shop lane,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in Labone",10.00%,1,2,3,Water reservoir,coffe shop lane,49 m2
1606913936-2050,https://meqasa.com/houses-for-rent-in-ghana?w=384,Read more,https://meqasa.com/house-for-rent-at-Labone-069881?y=1426609285,6 bedroom house for rent at Labone,"GH₵ 38,072","House for Rent

House for Rent in Labone",10.00%,6,7,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Labone,800 m2
1606916037-2255,https://meqasa.com/houses-for-rent-in-ghana?w=371,Read more,https://meqasa.com/apartment-for-rent-at-Lakeside-Estate-145683?y=1111288186,2 bedroom apartment for rent at Lakeside Estate,"GH₵ 5,820","Apartment for Rent

Apartment for Rent in Lakeside Estate",5.00%,2,2,0,"Generator
Water reservoir",Lakeside Estate,null
1606914771-2143,https://meqasa.com/houses-for-rent-in-ghana?w=378,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-002006?y=1973495269,4 bedroom apartment for rent at Cantonments,"GH₵ 24,475","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,4,4,,Water reservoir,Cantonments,null
1606914368-2101,https://meqasa.com/houses-for-rent-in-ghana?w=380,Read more,https://meqasa.com/apartment-for-rent-at-null-City-019139?y=711616071,2 bedroom apartment for rent at null City,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in null City",10.00%,2,2,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Cooker
Internet
Garden
Garage
Water reservoir
Generator",null City,null
1606920105-2532,https://meqasa.com/houses-for-rent-in-ghana?w=346,Read more,"https://meqasa.com/apartment-for-rent-at-Atasamanso,-Kumasi-132549?y=1584205477","2 bedroom apartment for rent at Atasamanso, Kumasi",GH₵ 700,"Apartment for Rent

Apartment for Rent in Atasamanso",10.00%,2,1,0,Water reservoir,Atasamanso,null
1606916329-2278,https://meqasa.com/houses-for-rent-in-ghana?w=369,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-125436?y=1102604498,2 bedroom apartment for rent at East Legon,"GH₵ 5,037","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,2,15,"Air conditioning
Cooker
Fans
Garden
Garage
Generator
Water reservoir",East Legon,"2,503 m2"
1606911894-1824,https://meqasa.com/houses-for-rent-in-ghana?w=398,Read more,https://meqasa.com/house-for-rent-at-former-dstv-lane-065100?y=272170391,4 bedroom house for rent at former dstv lane,"GH₵ 21,756","House for Rent

House for Rent in null Residential",10.00%,4,5,7,Water reservoir,dstv lane,null
1606913008-1947,https://meqasa.com/houses-for-rent-in-ghana?w=390,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-133832?y=1096242012,3 bedroom furnished apartment for rent at Cantonments,"GH₵ 1,740","Apartment for Rent

Apartment for Rent in Cantonments",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
